SRR10754234,DNase-seq_ALP_rep1_GB3052 (duplicate GSM3677391),DNAse-seq,ALP
SRR10754235,DNase-seq_ALP_rep2_GB3057  (duplicate GSM3677392),DNAse-seq,ALP
SRR10754236,DNase-seq_ALP_rep3_GB7346  (duplicate GSM3677393),DNAse-seq,ALP
SRR10754237,DNase-seq_EILP_rep1_GB3053 (duplicate GSM3677394),DNAse-seq,EILP
SRR10754238,DNase-seq_EILP_rep2_GB3058 (duplicate GSM3677395),DNAse-seq,EILP
SRR10754239,DNase-seq_EILP_rep3_GB7347 (duplicate GSM3677396),DNAse-seq,EILP
SRR10754240,DNase-seq_ILCP_rep1_GB3054 (duplicate GSM3677397),DNAse-seq,ILCP
SRR10754241,DNase-seq_ILCP_rep2_GB3059 (duplicate GSM3677398),DNAse-seq,ILCP
SRR10754242,DNase-seq_ILCP_rep3_GB7348 (duplicate GSM3677399),DNAse-seq,ILCP
