;p_val;avg_logFC;clus6.mean;clus2.mean
Atxn7l3b;0.033780285;-0.260564347;0.815368178;1.075932524
Rabepk;0.033784769;-0.140746508;0.095910758;0.236657267
Rps27;0.03382135;-0.248814534;0.668321953;0.917136487
Bin1;0.033826404;0.196490472;0.442550698;0.246060226
Znrd1;0.033832958;0.16299031;0.359284387;0.196294077
Snrnp25;0.034366255;0.172125014;0.415857959;0.243732945
Ubc;0.034543067;0.243001791;1.001253074;0.758251283
H2-Q4;0.03461827;-0.138739011;0.096473169;0.23521218
Coil;0.034636314;-0.126377251;0.062995675;0.189372926
Phf21a;0.035719718;-0.154408175;0.109714917;0.264123092
Pkm;0.036119283;0.232365701;0.934494651;0.70212895
Sema4d;0.036218246;0.182572348;0.459199674;0.276627327
Sys1;0.036240835;0.19533251;0.518891008;0.323558498
Lsm6;0.036557024;0.242670487;0.869497669;0.626827181
Mef2d;0.036962875;-0.15972421;0.146701207;0.306425417
Lrrc58;0.037569326;0.261303482;1.192537128;0.931233646
Mpeg1;0.038856947;0.162406436;0.263583231;0.101176795
Skap2;0.03930209;0.210460049;0.579794997;0.369334948
Rinl;0.039662479;0.165463305;0.303944493;0.138481188
Psmc6;0.039711433;-0.204849163;0.235447199;0.440296362
Sigmar1;0.040090632;0.142889857;0.239642737;0.09675288
Bmyc;0.040225471;0.198093247;0.536530078;0.338436831
Tns1;0.04026125;-0.151177396;0.086884545;0.238061941
Itgb2;0.041034757;0.143396304;0.23571134;0.092315036
Cenpf;0.041385998;0.178568344;0.32121769;0.142649346
Taf15;0.04164016;0.152679161;0.261962147;0.109282986
Dstn;0.04186639;0.157775037;0.28776018;0.129985143
Tep1;0.042056376;0.162129602;0.241746145;0.079616542
Tuba1b;0.042144404;0.336069077;1.404140149;1.068071072
Wbp5;0.043099269;0.175542182;0.384440484;0.208898302
Sharpin;0.043232819;-0.145639735;0.080316299;0.225956034
H2-Oa;0.044028519;0.128925461;0.191434868;0.062509408
Arhgef18;0.044430433;-0.14977826;0.104619699;0.254397959
Samhd1;0.044843344;0.189383822;0.419754504;0.230370682
Nme1;0.044871112;-0.247239159;0.918017625;1.165256785
Ppwd1;0.045368753;0.130811844;0.20365833;0.072846486
Heatr6;0.046063133;-0.142811226;0.106309446;0.249120673
Myl12b;0.046377798;0.212582114;0.671931216;0.459349102
Fam117a;0.046483262;-0.188157531;0.209246429;0.397403959
Manf;0.046698208;0.221629102;0.748465753;0.52683665
Parp1;0.047459543;-0.250675258;0.652347955;0.903023213
Tspan4;0.047630433;-0.162830108;0.139858044;0.302688152
Apoe;0.048105924;0.187457714;0.224351878;0.036894165
Fut7;0.048328536;0.157793118;0.330195979;0.172402861
Cd93;0.04939312;-0.176911569;0.234197083;0.411108653
Kdm6b;0.04955951;-0.144846836;0.095049217;0.239896053
Ncbp3;0.049788122;-0.175015591;0.211731074;0.386746666
Bpifc;0.049816052;-0.12226384;0.076572251;0.198836091
Glipr1;0.050546593;0.212146091;0.636098093;0.423952002
Pld1;0.050931152;0.162009565;0.299404893;0.137395329
Cdca8;0.051058441;0.208995406;0.508392742;0.299397336
Sept11;0.051182198;0.185027763;0.456965182;0.271937419
Myl12a;0.051832845;0.2239888;0.825785977;0.601797176
Terf2;0.051950426;-0.116747144;0.065410322;0.182157466
Hes6;0.052111798;0.246725361;0.784362737;0.537637377
Tmem57;0.052521355;-0.161700028;0.136557751;0.298257779
Car2;0.052589406;-0.153448194;0.1406996;0.294147794
Nop56;0.052793908;-0.248551951;0.564070937;0.812622888
Luc7l;0.052828626;-0.20343626;0.295092685;0.498528945
Arpc1a;0.054846297;0.186507072;0.540299269;0.353792196
Atad2;0.055388874;0.157480842;0.343001032;0.18552019
Vdac1;0.055878603;-0.216932528;0.587042221;0.803974749
Anp32e;0.055894473;0.209268758;0.669146518;0.459877759
Gng12;0.056611345;-0.185862348;0.346408933;0.532271281
Nfkb1;0.056707402;0.299638598;1.310954277;1.011315679
Jun;0.057470179;0.186647443;0.456906629;0.270259186
Cd37;0.057602648;0.218592552;0.665235998;0.446643446
Zmynd8;0.058283372;0.156669367;0.30290222;0.146232853
Tsen34;0.058283372;0.153311062;0.300191309;0.146880247
Rab8b;0.058806846;0.148875456;0.313966022;0.165090567
Chmp2a;0.058894542;0.187981306;0.534131409;0.346150102
Lbh;0.058894588;0.190441128;0.548147648;0.35770652
2410004B18Rik;0.059122174;-0.139475453;0.100248064;0.239723517
Pou2f2;0.060284207;-0.242294343;0.472920896;0.715215239
Utp3;0.061922039;0.161868875;0.383926285;0.22205741
Ostf1;0.063254601;0.225981491;0.834075885;0.608094393
Hist1h1c;0.06386158;0.122788109;0.223111682;0.100323573
Sf3b4;0.064206425;-0.165696378;0.204463865;0.370160244
Hmgn3;0.065352418;0.097574096;0.148588161;0.051014065
Krit1;0.066564488;0.199250681;0.591290183;0.392039502
Mcpt8;0.067493843;-0.024190587;0.200740011;0.224930598
Mrps16;0.067681291;0.186019046;0.560744799;0.374725754
Mrps34;0.068051933;0.159167936;0.3571373;0.197969364
Mafg;0.068541224;-0.154231083;0.158487207;0.312718289
Uck1;0.068644507;-0.14991664;0.127367779;0.277284419
Lsm12;0.068667646;-0.196653552;0.35712061;0.553774162
Sept9;0.068941289;0.147083501;0.309613757;0.162530256
Atg101;0.069619408;-0.170342791;0.228364723;0.398707514
Psmd12;0.06980241;-0.162325623;0.21661342;0.378939043
Grb2;0.069900015;-0.211231131;0.568219169;0.7794503
BC029214;0.069929168;-0.131837638;0.102608506;0.234446144
Tor1aip1;0.070107568;0.163536373;0.429128912;0.265592539
Arl6ip1;0.07083493;0.257202211;1.174931141;0.91772893
Eif2s2;0.071714804;-0.224800594;0.721976751;0.946777345
Limd2;0.071839728;0.258548333;1.12752641;0.868978076
Rhoa;0.076215274;0.200200905;1.099730922;0.899530017
Rbm10;0.076611226;-0.157590827;0.128425724;0.28601655
Iscu;0.076909868;0.17389724;0.487156915;0.313259675
Nedd4;0.077765138;0.154904332;0.339757945;0.184853613
9930111J21Rik2;0.077993507;0.149372589;0.262570043;0.113197454
Junb;0.078335881;0.123985796;0.2369087;0.112922904
Ifitm1;0.078731809;0.145353558;0.21865156;0.073298002
Rhog;0.081940832;0.154335087;0.378124087;0.223789
Anapc11;0.082321714;0.194076676;0.679725287;0.485648611
Utp11l;0.082474842;-0.186870397;0.345197674;0.532068071
Epc1;0.082976685;0.118659757;0.219770263;0.101110506
Tsc22d1;0.084734441;-0.192652451;0.335176095;0.527828545
Rab8a;0.085174548;0.160658358;0.362016629;0.201358271
Fabp5;0.085492306;-0.209591757;0.513257281;0.722849038
Ptbp1;0.086605467;-0.173198259;0.305596756;0.478795015
Foxo3;0.090155464;-0.127551581;0.075169406;0.202720987
Dtnbp1;0.094019072;-0.209990045;0.279146992;0.489137037
Cd164;0.094783429;0.155356781;0.35544201;0.200085229
Nelfb;0.095202604;-0.165486341;0.232573884;0.398060224
Elf1;0.096415611;-0.204966425;0.564626799;0.769593225
Tmpo;0.098130876;0.191428943;0.656444303;0.46501536
Fam49b;0.09814994;0.192818402;0.727471094;0.534652692
Rgs2;0.099914436;0.157599321;0.398036113;0.240436792
Ifi35;0.102237979;0.121722833;0.255293592;0.133570758
Rgs18;0.103281615;0.145866088;0.351724229;0.205858141
Itpr1;0.103453503;0.154449344;0.434605888;0.280156544
Hcfc1r1;0.10552137;0.122898233;0.26644643;0.143548197
Atad2b;0.105917264;0.113026798;0.222521354;0.109494556
Sf3a3;0.107039788;-0.149749889;0.187671598;0.337421487
Ankrd10;0.108027123;-0.180450727;0.348283276;0.528734003
Nxt1;0.108362372;-0.17705949;0.300739635;0.477799125
Psma4;0.112051883;0.182840871;0.627804724;0.444963853
Dhx9;0.113214897;-0.163580118;0.243940613;0.40752073
Smco4;0.11551704;-0.139231147;0.167236645;0.306467792
Srp19;0.117853232;-0.170947085;0.327676771;0.498623857
Ddit4;0.118866516;0.206631369;0.531639355;0.325007985
Eif2s1;0.120856707;-0.161933445;0.243096573;0.405030018
H2afx;0.121305455;0.231342374;0.887597931;0.656255557
Rpl27;0.122370316;-0.18984439;0.480787172;0.670631562
Spry2;0.127047322;0.119690855;0.194169087;0.074478232
Ptms;0.129112441;0.108748484;0.198228975;0.08948049
Ssu72;0.129611155;-0.183463658;0.507836728;0.691300386
Tmem229b;0.129727662;-0.165011345;0.243302948;0.408314294
Cnpy2;0.134631757;-0.190478423;0.565750817;0.75622924
Polr3k;0.135350222;-0.145126259;0.177281496;0.322407754
Ddx39;0.138527798;-0.154872205;0.273500854;0.428373059
Ifitm2;0.140759681;0.17183308;0.523853575;0.352020495
Vdac2;0.143587659;-0.171453842;0.54856908;0.720022922
Sec11c;0.144329573;0.18168949;0.746024548;0.564335057
Slpi;0.145236231;0.116055664;0.239101444;0.12304578
Mcm6;0.147686036;-0.171640196;0.376444847;0.548085043
Tmem176a;0.149976479;0.149222761;0.497267895;0.348045133
Rexo1;0.154450165;-0.149612897;0.255129839;0.404742736
Gimap5;0.156668401;0.119562847;0.206461674;0.086898828
Marc2;0.157313976;-0.177772638;0.312247435;0.490020074
Hspa5;0.159647354;0.187068969;0.823424756;0.636355787
Eci2;0.167505161;-0.147707473;0.221579708;0.369287181
Fam65a;0.167991133;-0.122884475;0.105552271;0.228436746
Tmem176b;0.169743813;0.148293015;0.576835427;0.428542412
Uqcrc2;0.171341492;-0.157933591;0.356774171;0.514707762
Nr2c2;0.172890527;-0.126829034;0.152979616;0.279808651
Pycr2;0.175777248;-0.145861595;0.261191646;0.407053241
Crip1;0.186987637;0.19324264;2.386840732;2.193598091
Pyurf;0.192996732;-0.118210193;0.130454111;0.248664304
Ascc1;0.210097524;-0.12539927;0.179916926;0.305316195
Wdr43;0.211066407;-0.155860553;0.344297649;0.500158202
Sfpq;0.211320287;-0.17291981;0.593385552;0.766305362
Tnrc6b;0.227289508;0.135181994;0.343299571;0.208117578
Tcf7;0.250011104;0.13798902;0.451277097;0.313288077
Pin1;0.272152726;-0.142771084;0.339109651;0.481880736
Sh2d5;0.291175881;-0.110023644;0.098943644;0.208967287
Gimap6;0.302191607;0.10645828;0.245470876;0.139012596
Gm9844;0.306123314;0.116759345;0.980065456;0.863306111
Pan3;0.308832291;-0.14957119;0.497087343;0.646658533
Il18r1;0.316827135;0.1237907;0.327775916;0.203985216
Rrp7a;0.320883692;-0.128977932;0.154817009;0.28379494
Smarcc1;0.326045792;-0.156412636;0.544107302;0.700519938
Polr3h;0.353055696;-0.100921923;0.112528733;0.213450656
Ccl5;0.367181523;0.147042601;0.548540436;0.401497835
Ltb;0.408006431;0.124367946;0.253636875;0.129268929
Numa1;0.47409465;-0.108841909;0.222797981;0.33163989
Hp;0.48963746;0.073560841;0.225369547;0.151808706
Ctsg;0.697334805;0.086367145;0.428710425;0.342343279
